product_name,product_price,Description,Tags,stock_status,SKU,product_catagory
Metapod,£123.00,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,"['Cocoon', 'metapod', 'Shed Skin']",285 in stock,2072,"Categories: Cocoon, Pokemon"
Butterfree,£168.00,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","['Butterfly', 'butterfree', 'Compound Eyes']",242 in stock,9507,"Categories: Butterfly, Pokemon"
Weedle,£130.00,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"['Hairy Bug', 'Shield Dust', 'weedle']",65 in stock,7525,"Categories: Hairy Bug, Pokemon"
Kakuna,£156.00,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","['Cocoon', 'kakuna', 'Shed Skin']",260 in stock,1049,"Categories: Cocoon, Pokemon"
Beedrill,£159.00,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","['beedrill', 'Poison Bee', 'Swarm']",125 in stock,6542,"Categories: Poison Bee, Pokemon"
Pidgey,£162.00,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Keen Eye', 'pidgey', 'Tiny Bird']",175 in stock,9452,"Categories: Pokemon, Tiny Bird"
Pidgeotto,£162.00,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","['Bird', 'Keen Eye', 'pidgeotto']",120 in stock,1150,"Categories: Bird, Pokemon"
Pidgeot,£48.00,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","['Bird', 'Keen Eye', 'pidgeot']",90 in stock,8462,"Categories: Bird, Pokemon"
Rattata,£123.00,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","['Mouse', 'rattata', 'Run Away']",16 in stock,1009,"Categories: Mouse, Pokemon"
Raticate,£37.00,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","['Mouse', 'raticate', 'Run Away']",204 in stock,5745,"Categories: Mouse, Pokemon"
Spearow,£165.00,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","['Keen Eye', 'spearow', 'Tiny Bird']",46 in stock,1591,"Categories: Pokemon, Tiny Bird"
Fearow,£87.00,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,"['Beak', 'fearow', 'Keen Eye']",276 in stock,9127,"Categories: Beak, Pokemon"
Ekans,£60.00,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,"['ekans', 'Shed Skin', 'Snake']",120 in stock,5690,"Categories: Pokemon, Snake"
Arbok,£48.00,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","['arbok', 'Cobra', 'Shed Skin']",248 in stock,9230,"Categories: Cobra, Pokemon"
Pikachu,£95.00,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,"['Mouse', 'pikachu', 'Static']",254 in stock,1333,"Categories: Mouse, Pokemon"
Raichu,£60.00,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,"['Mouse', 'raichu', 'Static']",215 in stock,3488,"Categories: Mouse, Pokemon"
Sandshrew,£48.00,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.","['Mouse', 'Sand Veil', 'sandshrew']",100 in stock,9134,"Categories: Mouse, Pokemon"
Sandslash,£128.00,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.","['Mouse', 'Sand Veil', 'sandslash']",236 in stock,4747,"Categories: Mouse, Pokemon"
Nidorina,£84.00,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","['nidorina', 'Poison Pin', 'Poison Point']",58 in stock,9779,"Categories: Poison Pin, Pokemon"
Nidoqueen,£148.00,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,"['Drill', 'nidoqueen', 'Poison Point']",153 in stock,6614,"Categories: Drill, Pokemon"
Nidorino,£95.00,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","['nidorino', 'Poison Pin', 'Poison Point']",279 in stock,9646,"Categories: Poison Pin, Pokemon"
Nidoking,£25.00,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","['Drill', 'nidoking', 'Poison Point']",178 in stock,1159,"Categories: Drill, Pokemon"
Clefairy,£84.00,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.","['clefairy', 'Cute Charm', 'Fairy']",86 in stock,3259,"Categories: Fairy, Pokemon"
Clefable,£185.00,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","['clefable', 'Cute Charm', 'Fairy']",23 in stock,9786,"Categories: Fairy, Pokemon"
Vulpix,£168.00,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.","['Flash Fire', 'Fox', 'vulpix']",268 in stock,1440,"Categories: Fox, Pokemon"
Ninetales,£105.00,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,"['Flash Fire', 'Fox', 'ninetales']",215 in stock,5173,"Categories: Fox, Pokemon"
Jigglypuff,£123.00,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.","['Balloon', 'Cute Charm', 'jigglypuff']",136 in stock,9180,"Categories: Balloon, Pokemon"
Wigglytuff,£105.00,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.","['Balloon', 'Cute Charm', 'wigglytuff']",260 in stock,2733,"Categories: Balloon, Pokemon"
Zubat,£87.00,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.","['Bat', 'Inner Focus', 'zubat']",154 in stock,2584,"Categories: Bat, Pokemon"
Golbat,£48.00,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.","['Bat', 'golbat', 'Inner Focus']",52 in stock,5941,"Categories: Bat, Pokemon"
Oddish,£162.00,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.","['Chlorophyll', 'oddish', 'Weed']",296 in stock,8337,"Categories: Pokemon, Weed"
Gloom,£182.00,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.","['Chlorophyll', 'gloom', 'Weed']",74 in stock,7374,"Categories: Pokemon, Weed"
Vileplume,£159.00,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.","['Chlorophyll', 'Flower', 'vileplume']",283 in stock,5295,"Categories: Flower, Pokemon"
Paras,£185.00,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,"['Effect Spore', 'Mushroom', 'paras']",192 in stock,9691,"Categories: Mushroom, Pokemon"
Parasect,£25.00,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.","['Effect Spore', 'Mushroom', 'parasect']",17 in stock,4612,"Categories: Mushroom, Pokemon"
Venonat,£156.00,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","['Compound Eyes', 'Insect', 'venonat']",177 in stock,1329,"Categories: Insect, Pokemon"
Venomoth,£148.00,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","['Poison Moth', 'Shield Dust', 'venomoth']",22 in stock,3503,"Categories: Poison Moth, Pokemon"
Diglett,£55.00,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.","['diglett', 'Mole', 'Sand Veil']",227 in stock,4383,"Categories: Mole, Pokemon"
Dugtrio,£25.00,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.","['dugtrio', 'Mole', 'Sand Veil']",290 in stock,7897,"Categories: Mole, Pokemon"
Meowth,£165.00,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.","['meowth', 'Pickup', 'Scratch Cat']",203 in stock,9594,"Categories: Pokemon, Scratch Cat"
Persian,£148.00,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,"['Classy Cat', 'persian', 'Technician']",108 in stock,3752,"Categories: Classy Cat, Pokemon"
Psyduck,£182.00,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.","['Damp', 'Duck', 'psyduck']",214 in stock,6470,"Categories: Duck, Pokemon"
Golduck,£84.00,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.","['Damp', 'Duck', 'golduck']",278 in stock,8764,"Categories: Duck, Pokemon"
Mankey,£133.00,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.","['mankey', 'Pig Monkey', 'Vital Spirit']",209 in stock,5180,"Categories: Pig Monkey, Pokemon"
Primeape,£128.00,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.","['Pig Monkey', 'primeape', 'Vital Spirit']",68 in stock,3052,"Categories: Pig Monkey, Pokemon"
Growlithe,£76.00,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.","['growlithe', 'Intimidate', 'Puppy']",243 in stock,1749,"Categories: Pokemon, Puppy"
Arcanine,£156.00,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.","['arcanine', 'Intimidate', 'Legendary']",14 in stock,9267,"Categories: Legendary, Pokemon"
Poliwag,£76.00,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.","['Damp', 'poliwag', 'Tadpole']",217 in stock,6402,"Categories: Pokemon, Tadpole"
Poliwhirl,£130.00,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.","['Damp', 'poliwhirl', 'Tadpole']",139 in stock,4447,"Categories: Pokemon, Tadpole"
Poliwrath,£60.00,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.","['Damp', 'poliwrath', 'Tadpole']",216 in stock,1848,"Categories: Pokemon, Tadpole"
Abra,£25.00,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.","['abra', 'Inner Focus', 'Psi']",116 in stock,3845,"Categories: Pokemon, Psi"
Kadabra,£159.00,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.","['Inner Focus', 'kadabra', 'Psi']",195 in stock,9040,"Categories: Pokemon, Psi"
Alakazam,£87.00,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.","['alakazam', 'Inner Focus', 'Psi']",142 in stock,7975,"Categories: Pokemon, Psi"
Machop,£73.00,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,"['Guts', 'machop', 'Superpower']",173 in stock,9506,"Categories: Pokemon, Superpower"
Machoke,£148.00,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.","['Guts', 'machoke', 'Superpower']",10 in stock,9503,"Categories: Pokemon, Superpower"
Machamp,£165.00,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.","['Guts', 'machamp', 'Superpower']",242 in stock,2857,"Categories: Pokemon, Superpower"
Bellsprout,£130.00,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","['bellsprout', 'Chlorophyll', 'Flower']",257 in stock,7454,"Categories: Flower, Pokemon"
Weepinbell,£148.00,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.","['Chlorophyll', 'Flycatcher', 'weepinbell']",46 in stock,5253,"Categories: Flycatcher, Pokemon"
Victreebel,£156.00,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.","['Chlorophyll', 'Flycatcher', 'victreebel']",119 in stock,2187,"Categories: Flycatcher, Pokemon"
Tentacool,£165.00,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,"['Clear Body', 'Jellyfish', 'tentacool']",66 in stock,1506,"Categories: Jellyfish, Pokemon"
Tentacruel,£156.00,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,"['Clear Body', 'Jellyfish', 'tentacruel']",175 in stock,1723,"Categories: Jellyfish, Pokemon"
Geodude,£165.00,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.","['geodude', 'Rock', 'Rock Head']",77 in stock,1650,"Categories: Pokemon, Rock"
Graveler,£48.00,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.","['graveler', 'Rock', 'Rock Head']",86 in stock,4748,"Categories: Pokemon, Rock"
Golem,£156.00,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.","['golem', 'Megaton', 'Rock Head']",151 in stock,1408,"Categories: Megaton, Pokemon"
Ponyta,£48.00,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,"['Fire Horse', 'ponyta', 'Run Away']",41 in stock,3629,"Categories: Fire Horse, Pokemon"
Rapidash,£25.00,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.","['Fire Horse', 'rapidash', 'Run Away']",194 in stock,3414,"Categories: Fire Horse, Pokemon"
Slowpoke,£95.00,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.","['Dopey', 'Oblivious', 'slowpoke']",57 in stock,2145,"Categories: Dopey, Pokemon"
Slowbro,£130.00,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.","['Hermit Crab', 'Oblivious', 'slowbro']",289 in stock,3864,"Categories: Hermit Crab, Pokemon"
Magnemite,£87.00,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,"['magnemite', 'Magnet', 'Sturdy']",16 in stock,1688,"Categories: Magnet, Pokemon"
Magneton,£133.00,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.","['Magnet', 'magneton', 'Sturdy']",152 in stock,5934,"Categories: Magnet, Pokemon"
Farfetchd,£87.00,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.","['farfetchd', 'Keen Eye', 'Wild Duck']",158 in stock,3808,"Categories: Pokemon, Wild Duck"
Doduo,£128.00,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.","['doduo', 'Run Away', 'Twin Bird']",227 in stock,8303,"Categories: Pokemon, Twin Bird"
Dodrio,£162.00,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.","['dodrio', 'Run Away', 'Triple Bird']",118 in stock,4038,"Categories: Pokemon, Triple Bird"
Seel,£128.00,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.","['Sea Lion', 'seel', 'Thick Fat']",250 in stock,2302,"Categories: Pokemon, Sea Lion"
Dewgong,£95.00,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,"['dewgong', 'Sea Lion', 'Thick Fat']",62 in stock,9375,"Categories: Pokemon, Sea Lion"
Grimer,£76.00,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,"['grimer', 'Sludge', 'Stench']",201 in stock,3031,"Categories: Pokemon, Sludge"
Muk,£165.00,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.","['muk', 'Sludge', 'Stench']",220 in stock,9514,"Categories: Pokemon, Sludge"
Shellder,£95.00,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.","['Bivalve', 'Shell Armor', 'shellder']",23 in stock,4653,"Categories: Bivalve, Pokemon"
Cloyster,£159.00,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.","['Bivalve', 'cloyster', 'Shell Armor']",39 in stock,5736,"Categories: Bivalve, Pokemon"
Gastly,£165.00,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.","['Gas', 'gastly', 'Levitate']",151 in stock,6873,"Categories: Gas, Pokemon"
Haunter,£123.00,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.","['Gas', 'haunter', 'Levitate']",181 in stock,7532,"Categories: Gas, Pokemon"
Gengar,£105.00,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.","['gengar', 'Levitate', 'Shadow']",159 in stock,6267,"Categories: Pokemon, Shadow"
Onix,£60.00,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.","['onix', 'Rock Head', 'Rock Snake']",286 in stock,2221,"Categories: Pokemon, Rock Snake"
Drowzee,£156.00,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.","['drowzee', 'Hypnosis', 'Insomnia']",253 in stock,9437,"Categories: Hypnosis, Pokemon"
Hypno,£60.00,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.","['hypno', 'Hypnosis', 'Insomnia']",222 in stock,2634,"Categories: Hypnosis, Pokemon"
Krabby,£165.00,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.","['krabby', 'River Crab', 'Shell Armor']",147 in stock,2333,"Categories: Pokemon, River Crab"
Kingler,£162.00,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.","['kingler', 'Pincer', 'Shell Armor']",271 in stock,1454,"Categories: Pincer, Pokemon"
Voltorb,£159.00,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,"['Ball', 'Static', 'voltorb']",245 in stock,9522,"Categories: Ball, Pokemon"
Electrode,£165.00,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,"['Ball', 'electrode', 'Static']",230 in stock,1042,"Categories: Ball, Pokemon"
Exeggcute,£95.00,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.","['Chlorophyll', 'Egg', 'exeggcute']",144 in stock,2494,"Categories: Egg, Pokemon"
Exeggutor,£87.00,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.","['Chlorophyll', 'Coconut', 'exeggutor']",292 in stock,8250,"Categories: Coconut, Pokemon"
Cubone,£25.00,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.","['cubone', 'Lonely', 'Rock Head']",242 in stock,3170,"Categories: Lonely, Pokemon"
Marowak,£148.00,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,"['Bone Keeper', 'marowak', 'Rock Head']",295 in stock,8681,"Categories: Bone Keeper, Pokemon"
Hitmonlee,£55.00,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.","['hitmonlee', 'Kicking', 'Limber']",269 in stock,6833,"Categories: Kicking, Pokemon"
Hitmonchan,£128.00,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,"['hitmonchan', 'Keen Eye', 'Punching']",163 in stock,3499,"Categories: Pokemon, Punching"
Lickitung,£95.00,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.","['Licking', 'lickitung', 'Oblivious']",291 in stock,5903,"Categories: Licking, Pokemon"
Koffing,£156.00,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.","['koffing', 'Levitate', 'Poison Gas']",110 in stock,3303,"Categories: Poison Gas, Pokemon"
Weezing,£123.00,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.","['Levitate', 'Poison Gas', 'weezing']",117 in stock,8429,"Categories: Poison Gas, Pokemon"
Rhyhorn,£95.00,"Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.","['rhyhorn', 'Rock Head', 'Spikes']",138 in stock,8574,"Categories: Pokemon, Spikes"
Rhydon,£133.00,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.","['Drill', 'rhydon', 'Rock Head']",73 in stock,4900,"Categories: Drill, Pokemon"
Chansey,£60.00,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.","['chansey', 'Egg', 'Natural Cure']",151 in stock,8548,"Categories: Egg, Pokemon"
